minerID,power,rewards_gained,main_blocks_created,uncle_blocks_created
m39,1224,0.000000,0.000000,0.000000
m40,1469,0.000000,0.000000,0.000000
m41,1763,0.000000,0.000000,0.000000
m42,2116,0.000000,0.000000,0.000000
m43,2539,0.000000,0.000000,0.000000
m44,3047,0.000000,0.000000,0.000000
m45,3657,0.000000,0.000000,0.000000
m46,4388,0.000000,0.000000,0.000000
m47,5266,0.000000,0.000000,0.000000
m48,6319,0.000000,0.000000,0.000000
m49,7583,0.000000,0.000000,0.000000
m50,9100,0.000000,0.000000,0.000000
m51,10920,0.000000,0.000000,0.000000
m52,13104,0.000000,0.000000,0.000000
m53,15725,0.000000,0.000000,0.000000
m54,18870,0.000000,0.000000,0.000000
m55,22644,6390.000000,1.000000,0.000000
m56,27173,0.000000,0.000000,0.000000
m57,32608,0.000000,0.000000,0.000000
m58,39130,0.000000,0.000000,0.000000
m59,46956,0.000000,0.000000,0.000000
m60,56347,0.000000,0.000000,0.000000
m61,67617,0.000000,0.000000,0.000000
m62,81140,5487.000000,1.000000,0.000000
m63,97368,0.000000,0.000000,0.000000
m64,116842,11826.000000,1.000000,2.000000
m65,140210,11660.000000,2.000000,0.000000
m66,168252,5358.000000,1.000000,0.000000
m67,201903,4285.714286,0.000000,1.000000
m68,242283,0.000000,0.000000,0.000000
m69,290740,13661.142857,2.000000,2.000000
m70,348888,42662.714286,7.000000,1.000000
m71,418666,9619.714286,1.000000,2.000000
m72,502400,26600.142857,3.000000,2.000000
m73,602880,20960.714286,3.000000,1.000000
m74,723456,43690.714286,7.000000,1.000000
m75,868147,47345.428571,7.000000,3.000000
m76,1041776,36911.285714,4.000000,4.000000
m77,1250132,57436.714286,7.000000,5.000000
m78,1500158,88931.714286,15.000000,1.000000
m79,1800190,78867.428571,13.000000,2.000000
m80,2160228,139558.142857,21.000000,5.000000
m81,2592274,102607.857143,14.000000,7.000000
m82,3110728,137066.571429,19.000000,8.000000
m83,3732874,126607.142857,19.000000,7.000000
